0,1,2,3,4,5,6,7,8,9,10,11
144,79,3,9,123,242,36,204,804,0,0,1
3,403,194,2,127,3790,88,0,0,0,0,1
107,468,446,2508,53,4628,423,24,0,0,0,0
10,61,174,11,2,4,28,63,2,0,0,0
3,9,2091,26,89,122,983,310,139,0,0,1
10,63,15,18,1032,1777,433,1407,369,2,4,2
3,9,744,52,124,588,2,161,0,0,0,1
144,416,24,219,183,172,94,151,0,0,0,0
12,8,5,1567,1081,152,0,0,0,0,0,2
126,66,33,853,1920,4629,442,0,0,0,0,1
2240,178,632,55,2509,5,175,3791,0,0,0,2
5,287,67,64,3792,686,47,2,0,0,0,2
28,106,24,364,2,2,443,175,270,0,0,0
984,129,42,3210,2,145,651,74,3793,58,254,1
32,2,8,1253,23,2,3,9,383,0,0,1
1254,60,149,370,110,179,34,0,0,0,0,0
28,61,12,2,4,14,458,2,4,1484,0,0
7,1408,469,2,20,2510,924,34,2,0,0,3
26,35,71,1409,175,360,159,0,0,0,0,0
8,62,278,88,4630,652,132,2,365,0,0,3
3,9,1668,2836,687,3211,1410,330,2,0,0,1
6171,1329,46,237,2,73,279,487,0,0,0,0
145,2092,3793,42,2837,250,6,1485,0,0,0,1
38,1033,3,270,169,2,4,271,138,2,59,1
94,151,311,2,4,14,854,44,714,130,0,1
31,6,116,653,40,154,246,317,654,16,81,1
1082,195,12,45,14,1034,2,20,74,8,0,0
5,19,65,110,1411,2838,503,805,48,0,0,2
54,57,30,134,2,73,531,6173,6,1134,0,0
23,3,371,956,40,180,32,2093,0,0,0,1
312,82,291,29,545,0,0,0,0,0,0,2
181,214,49,1778,8,3,3794,1081,152,0,0,1
1330,985,88,3212,4631,8,1083,278,0,0,0,0
123,242,4632,6174,2511,246,532,2512,0,0,0,0
3,9,155,75,170,4633,2,22,0,0,0,1
255,447,150,220,833,47,3213,0,0,0,0,0
1412,448,3214,45,605,1192,1193,0,0,0,0,0
6175,50,118,1084,5,17,80,32,2,187,688,2
3795,6,1669,2,73,672,894,2513,31,0,0,0
43,1779,424,533,5,14,632,288,0,0,0,2
655,925,1780,2,20,14,4634,2,20,434,64,0
1135,806,2,27,13,2,2,0,0,0,0,0
470,3796,6176,238,139,1194,6,3,0,0,0,1
5,2,127,4635,288,606,0,0,0,0,0,2
36,280,49,165,2839,1085,1331,11,1413,0,0,0
633,425,2,73,262,239,471,0,0,0,0,0
3,72,44,146,164,181,170,2514,0,0,0,1
184,689,40,154,16,120,435,0,0,0,0,0
156,589,3,162,383,715,436,6,184,2241,0,1
1921,2,926,745,6177,6178,82,0,0,0,0,0
3215,4636,205,246,4637,546,1332,6179,0,0,0,0
6180,6181,276,21,394,2515,2242,4638,0,0,0,0
90,773,774,189,2,4,159,775,54,0,0,0
5,19,287,364,384,3797,1781,6,65,0,0,2
834,1568,437,150,291,62,449,8,855,0,0,3
1136,98,559,2516,331,160,11,40,174,0,0,0
3,51,2,4,534,333,11,26,0,0,0,1
28,4639,2,35,11,237,408,90,0,0,0,0
15,18,35,459,1255,16,3216,6182,560,250,0,2
7,48,2,4,50,82,2,27,1670,1086,927,3
2840,49,3217,2841,6183,313,776,239,2243,0,0,0
76,7,41,46,334,673,1782,155,243,1414,1486,3
239,471,3219,4641,590,2,4,16,674,2244,0,0
3,206,21,1922,310,1137,2,73,0,0,0,1
314,82,425,5,856,17,77,0,0,0,0,2
7,1783,2245,2,59,3220,591,1256,0,0,0,3
128,85,29,17,77,576,23,32,522,0,0,2
32,2246,1415,34,24,690,0,0,0,0,0,2
318,715,3798,47,2,4642,319,0,0,0,0,0
98,15,18,166,147,224,40,199,0,0,0,2
3,6184,2,27,79,6185,2,0,0,0,0,1
657,6,1138,472,2094,6186,100,107,0,0,0,0
3,478,6187,1784,504,3799,0,0,0,0,0,1
3,9,460,634,395,746,13,40,24,0,0,1
36,6188,4643,6189,185,986,3221,3800,0,0,0,1
3222,326,6,3,56,6190,49,157,0,0,0,1
7,41,221,1415,23,2,2,29,0,0,0,3
835,207,101,2843,1195,747,0,0,0,0,0,0
1034,322,292,169,2,4,176,266,0,0,0,0
460,32,335,293,3,9,210,0,0,0,0,1
31,1035,4644,807,343,1923,13,6,616,0,0,0
895,125,181,4645,592,2247,461,561,6191,777,2,1
45,605,79,957,3801,71,857,547,175,2,0,0
28,106,11,2,4,521,2,0,0,0,0,0
209,145,167,2095,14,658,687,225,659,2096,302,1
3,896,52,70,1087,0,0,0,0,0,0,1
101,276,1333,6192,4646,1139,0,0,0,0,0,0
10,635,170,385,778,3,958,0,0,0,0,1
172,155,2,20,8,50,0,0,0,0,0,3
312,82,85,928,255,17,80,0,0,0,0,1
7,41,108,636,593,6193,3802,897,50,2248,88,3
157,303,1671,2517,6194,164,36,204,0,0,0,0
339,66,376,562,21,2518,470,89,122,0,0,1
3,281,282,1487,2,170,488,110,987,2,0,1
15,18,215,2,4,1488,2,71,11,238,114,2
1412,1036,2,27,74,8,1192,1193,0,0,0,0
10,35,12,2,4,2,87,0,0,0,0,3
10,61,11,2,4,1196,560,6195,0,0,0,0
3,142,164,21,637,0,0,0,0,0,0,1
660,54,2837,748,1197,2250,0,0,0,0,0,0
1198,1569,2,27,226,0,0,0,0,0,0,0
32,2,523,395,396,45,40,227,0,0,0,2
10,304,563,433,311,24,546,4647,361,749,1088,3
198,16,21,1785,2519,70,3,0,0,0,0,1
3,155,75,858,310,1137,0,0,0,0,0,1
654,462,6196,244,6197,174,0,0,0,0,0,0
