title,tags,link,label
vale decide desembolsar <NUM> bilhoes linhas credito rotativo coronavirus,"['Coronavírus', 'Crédito', 'Empresas', 'Mineração', 'Reuters', 'Vale']",https://www.moneytimes.com.br/vale-decide-desembolsar-us-5-bilhoes-de-linhas-de-credito-rotativo-por-coronavirus/,2
gasolina sobe quase <NUM> cento postos <NUM> metade marco aponta valecard,"['Brasil', 'Combustíveis', 'Economia', 'Empresas', 'Gasolina', 'Instagram', 'Petrobras', 'Reuters']",https://www.moneytimes.com.br/gasolina-sobe-quase-10-nos-postos-na-1a-metade-de-marco-aponta-valecard/,1
jair bolsonaro anuncia ministro defesa governo,"['Jair Bolsonaro', 'Política']",https://www.sunoresearch.com.br/noticias/jair-bolsonaro-ministro-defesa/,0
senado votara nessa quarta novo marco saneamento,"['Jair Bolsonaro', 'marco do saneamento', 'Senado']",https://www.sunoresearch.com.br/noticias/senado-votara-novo-marco-do-saneamento/,0
ibovespa opera acima <NUM> mil pontos nesta manha,['ibovespa'],https://www.sunoresearch.com.br/noticias/ibovespa-02012019/,0
coinbase planeja ipo pode valer dois itaus itub4,"['Banco do Brasil (BBAS3)', 'Bradesco (BBDC3/BBDC4)', 'criptomoedas', 'Itaú Unibanco (ITUB3/ITUB4)', 'Santander (SANB11/SANB3/SANB4)']",https://www.suno.com.br/noticias/coinbase-criptomoedas-valer-mais-itau-itub4/,3
indices futuros ny operam alta asia reflete resultados consumo,"['Índices', 'mercado futuro', 'S&P 500']",https://www.sunoresearch.com.br/noticias/indices-ny-europa-asia-25052020/,0
laranjas psl bebianno diz responsabilidade ministro turismo,"['eleições', 'Gustavo Bebianno', 'PSL']",https://www.sunoresearch.com.br/noticias/laranjas-no-psl-beabianno-ministro-turismo/,0
petrobras aprova cessao participacao campos petroleo,"['Combustíveis', 'Economia', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/petrobras-aprova-cessao-de-participacao-em-campos-de-petroleo/,1
mercado comeca precificar fortalecimento alckmin,"['Eleições 2018', 'Geraldo Alckmin', 'Mercados', 'Petrobras', 'PSDB']",https://www.moneytimes.com.br/mercado-comeca-a-precificar-fortalecimento-de-alckmin/,1
petrobras perfura poco profundo historia brasil bacia es,"['Cidades', 'Combustíveis', 'Commodities', 'Empresas', 'Espírito Santo', 'Estadão Conteúdo', 'Petrobras', 'Petróleo', 'Pré-Sal']",https://www.moneytimes.com.br/petrobras-perfura-poco-mais-profundo-da-historia-do-brasil-na-bacia-do-es/,1
magazine luiza mglu3 reage acusacao racismo deputado,"['magalu', 'Magazine Luiza', 'MGLU3']",https://www.sunoresearch.com.br/noticias/magazine-luiza-reage-a-acusacao-de-racismo-por-deputado/,0
minerio ferro segue negociacao paralisada feriado ano novo chines,"['China', 'Commodities', 'Investing.com', 'Mineração', 'Minério de ferro', 'Vale']",https://www.moneytimes.com.br/minerio-de-ferro-segue-com-negociacao-paralisada-por-feriado-do-ano-novo-chines/,2
bolsas mundiais operam campo misto olho avanco pandemia,"['bolsas mundiais', 'coronavírus', 'Estados Unidos', 'Nasdaq', 'S&P 500', 'vacina']",https://www.sunoresearch.com.br/noticias/bolsas-mundiais-ny-europa-asia-10112020/,0
jair bolsonaro psl vota segundo turno eleicoes,"['eleições', 'Fernando Haddad', 'Jair Bolsonaro', 'Política']",https://www.sunoresearch.com.br/noticias/jair-bolsonaro-segundo-turno/,0
petrobras afirma oferta recompra titulos deve movimentar <NUM> bilhoes,"['Combustíveis', 'Empresas', 'Petrobras', 'Petróleo', 'Reuters']",https://www.moneytimes.com.br/petrobras-afirma-que-oferta-de-recompra-de-titulos-deve-movimentar-us-25-bilhoes/,1
pf preve novos indiciamentos tragedia brumadinho apos junho,"['Meio Ambiente', 'Mineração', 'Tüv Süd', 'Vale']",https://www.moneytimes.com.br/pf-preve-novos-indiciamentos-pela-tragedia-de-brumadinho-so-apos-junho/,2
agencia recomenda extincao barragens montante <NUM>,"['Empresas', 'Mineração', 'Vale']",https://www.moneytimes.com.br/agencia-recomenda-extincao-de-barragens-a-montante-ate-2021/,2
anp alerta justica sobre risco desabastecimento diante greve petrobras,"['ANP', 'Combustíveis', 'Greve', 'Petrobras', 'Petróleo', 'Reuters']",https://www.moneytimes.com.br/anp-alerta-justica-sobre-risco-de-desabastecimento-diante-de-greve-na-petrobras/,1
petrobras ira perder <NUM> milhoes corte preco diesel,"['Diesel', 'Empresas', 'Petrobras']",https://www.moneytimes.com.br/petrobras-ira-perder-r-350-milhoes-por-corte-no-preco-do-diesel/,1
em cpi exmenos diretor vale diz ter sido punido mineradora,"['Brumadinho', 'Justiça', 'Mineração', 'Vale']",https://www.moneytimes.com.br/em-cpi-ex-diretor-da-vale-diz-ja-ter-sido-punido-por-mineradora/,2
onda ipos brasil pode sofrer piora risco politico veem especialistas,"['Ações', 'B3', 'Brasil', 'CVM', 'Instagram', 'IPO', 'Jair Bolsonaro', 'Mercados', 'Petrobras', 'Reuters']",https://www.moneytimes.com.br/onda-de-ipos-no-brasil-pode-sofrer-com-piora-do-risco-politico-veem-especialistas/,1
argentina brasil fazem acordo automotivo preve livremenos comercio <NUM> anos,"['Argentina', 'automóveis', 'brasil']",https://www.sunoresearch.com.br/noticias/argentina-brasil-acordo-automotivo-livre-comercio/,0
bradesco bbi projeta ibovespa batendo <NUM> mil pontos fim <NUM>,"['Ações', 'B3', 'bolsa', 'ibovespa', 'Investimentos']",https://www.sunoresearch.com.br/noticias/bradesco-bbi-ibovespa-116-mil-pontos/,0
complexo itabira vale autorizacao voltar operar,"['Empresas', 'Justiça', 'Minas Gerais', 'MPT', 'Vale']",https://www.moneytimes.com.br/complexo-de-itabira-da-vale-tem-autorizacao-para-voltar-a-operar/,2
ibovespa abre alta <NUM> cento gpa pcar3 dispara <NUM> cento apos venda lojas extra,"['Ibovespa', 'Assaí (ASAI3)', 'Grupo Pão de Açúcar (PCAR3/PCAR4)', 'Ibovespa', 'Itaú Unibanco (ITUB3/ITUB4)', 'Porto Seguro (PSSA3)']",https://www.suno.com.br/noticias/ibovespa-gpa-pcar3-dispara-15-15102021/,3
gol goll4 amplia oferta assentos outubro ainda ve prejuizo 3t20,"['companhias aéreas', 'Gol', 'GOLL4']",https://www.sunoresearch.com.br/noticias/gol-goll4-amplia-oferta-prejuizo-3t20/,0
petrobras bom desempenho operacional incerteza politica atrapalha dizem analistas,"['Ágora Investimentos', 'Banco Safra', 'BTG Pactual', 'Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/petrobras-tem-bom-desempenho-operacional-mas-incerteza-politica-atrapalha-dizem-analistas/,1
bb investimentos deixa recomendar compra acoes petrobras,"['BB Investimentos', 'Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/bb-investimentos-deixa-de-recomendar-compra-das-acoes-da-petrobras/,1
vale vale3 deve quintuplicar lucro <NUM> consolidar estrategia valor sobre volume,"['China', 'China', 'dividendos', 'minério de ferro', 'proventos', 'Resultado das empresas', 'Vale (VALE3)']",https://www.suno.com.br/noticias/vale-vale3-quintuplicar-lucro-2021-estrategia/,2
petrobras conclui venda eolica mangue seco <NUM> <NUM> milhoes,"['Empresas', 'Energia Elétrica', 'Energia Eólica', 'Petrobras', 'Setor Elétrico']",https://www.moneytimes.com.br/petrobras-conclui-venda-da-eolica-mangue-seco-2-por-r-342-milhoes/,1
santander lanca plataforma pagamentos meio celular,"['pagamentos', 'Santander', 'transferências bancárias', 'Way']",https://www.sunoresearch.com.br/noticias/santander-plataforma-pagamentos-celular/,0
defesa civil divulga plano casos risco outras barragens,"['Brumadinho', 'Minas Gerais', 'Vale']",https://www.moneytimes.com.br/defesa-civil-divulga-plano-para-casos-de-risco-em-outras-barragens/,2
agronegocio reprova decisao suspender acoes ligadas tabela frete,"['Agronegócio', 'greve dos caminhoneiros', 'stf', 'tabela de frete']",https://www.sunoresearch.com.br/noticias/agronegocio-decisao-tabela-frete/,0
ibovespa comeca sessao cautela sobre cena externa vale pesa baixa <NUM> cento,"['Ações', 'Empresas', 'Ibovespa', 'Mercados', 'Ofertas de ações', 'Reuters', 'Vale']",https://www.moneytimes.com.br/ibovespa-comeca-sessao-com-cautela-sobre-cena-externa-vale-pesa-com-baixa-de-107/,2
ibovespa fecha alta <NUM> cento <NUM> pontos,"['Embraer (EMBR3)', 'Gafisa (GFSA3)', 'Ibovespa', 'IRB Brasil (IRBR3)', 'PETR3', 'Petrobras (PETR4)']",https://www.suno.com.br/noticias/ibovespa-fecha-em-alta-de-248-a-102-06535-pontos-18082020/,1
lewandowski vota contra placar <NUM> <NUM> venda refinarias petrobras,"['Empresas', 'Judiciário', 'Justiça', 'Petrobras', 'Política', 'Reuters', 'STF']",https://www.moneytimes.com.br/lewandowski-vota-contra-mas-placar-esta-4-a-3-pela-venda-de-refinarias-da-petrobras/,1
metalfrio anuncia aquisicao assets <NUM> companhia britanica gestao dados,['Metalfrio'],https://www.sunoresearch.com.br/noticias/metalfrio-aquisicao-assets-365-companhia-britanica-gestao-dados/,0
bolsonaro diz define semana extensao auxilio emergencial preco diesel,"['Auxílio Emergencial', 'Benefícios', 'Brasil', 'Caminhoneiros', 'Combustíveis', 'Economia', 'Greve', 'Jair Bolsonaro', 'Paulo Guedes', 'Petrobras', 'Política', 'Reuters']",https://www.moneytimes.com.br/bolsonaro-diz-que-define-esta-semana-extensao-do-auxilio-emergencial-e-preco-do-diesel/,1
titulos tesouro direto iniciam semana proximos estabilidade,"['Tesouro Direto', 'Tesouro Nacional']",https://www.sunoresearch.com.br/noticias/titulos-tesouro-direto-21102019/,0
dolar inicia semana baixa militares alinham reforma junto governo,['dólar'],https://www.sunoresearch.com.br/noticias/dolar-18032019/,0
coronavirus banco preve reducao pib china conta epidemia,"['China', 'coronavírus', 'PIB']",https://www.sunoresearch.com.br/noticias/coronavirus-banco-reducao-pib-china-por-virus/,0
day trade <NUM> acoes comprar ter chances ganhar <NUM> cento segundo agora btg pagbank,"['Ágora Investimentos', 'Alpargatas', 'BTG Pactual', 'Comprar ou vender?', 'CPFL', 'Day Trade', 'Jereissati', 'PagBank', 'Petrobras', 'Santander', 'Vulcabras Azaleia']",https://www.moneytimes.com.br/day-trade-9-acoes-para-comprar-e-ter-chances-de-ganhar-ate-317-segundo-agora-btg-e-pagbank/,1
cosan desmente jornal diz interessada fatia vale detida previ,"['Cosan', 'Mercados', 'Previ', 'Vale']",https://www.moneytimes.com.br/cosan-desmente-jornal-e-diz-nao-estar-interessada-em-fatia-detida-pela-previ-da-vale/,2
lojas renner opera perdas <NUM> cento empresa anunciou expansao internacional,"['BTG Pactual', 'Comprar ou vender?', 'Lojas Renner', 'Mercados', 'Vale']",https://www.moneytimes.com.br/lojas-renner-opera-com-perdas-de-1-empresa-anunciou-expansao-internacional/,2
anp confirma negociacao <NUM> bi litros biodiesel leilao <NUM>,"['Abiove', 'ANP', 'Biocombustível', 'Biodiesel', 'Leilão', 'Petrobras', 'Reuters']",https://www.moneytimes.com.br/anp-confirma-negociacao-de-11-bi-litros-de-biodiesel-em-leilao-80/,1
ibovespa encerra dia queda <NUM> cento apos tombo <NUM> cento,"['Brumadinho', 'dólar', 'Ibovespa', 'Jair Bolsonaro', 'Reforma da Previdência', 'Vale (VALE3)']",https://www.suno.com.br/noticias/ibovespa-encarra-dia-queda-tombo/,2
minerio ferro registra forte queda <NUM> cento bolsa chinesa dalian,"['China', 'Commodities', 'Minério de ferro', 'Vale']",https://www.moneytimes.com.br/minerio-de-ferro-registra-forte-queda-de-51-na-bolsa-chinesa-de-dalian/,2
petrobras lanca edital projetos inovadores startups,"['Agência Brasil', 'Empresas', 'Inovação', 'Petrobras']",https://www.moneytimes.com.br/petrobras-lanca-edital-para-projetos-inovadores-com-startups/,1
