0,1,2,3,4,5,6,7,8,9,10,11
826,165,2630,340,1078,302,0,0,0,0,0,1
3,186,76,279,4479,1486,75,102,0,0,0,0
892,4480,4481,4482,377,1242,2,5,9,3,0,0
4,1017,738,311,258,178,668,0,0,0,0,1
3,8,1243,4483,302,2,40,0,0,0,0,0
10,92,1487,16,1658,2,1357,2631,47,261,0,0
2192,827,319,4484,378,828,46,0,0,0,0,2
223,37,13,59,201,228,6,829,3289,0,0,2
6,26,669,2193,19,7,3290,0,0,0,0,2
4,14,958,2,29,3291,893,0,0,0,0,1
2,9,540,21,81,214,77,0,0,0,0,1
3,65,1488,64,85,96,637,3292,0,0,0,0
2632,94,565,290,23,48,2,63,291,0,0,2
10,45,332,461,16,25,2,5,0,0,0,1
541,259,4485,3,16,388,1489,452,400,20,56,0
4,14,233,178,292,959,16,614,2,320,0,1
3,4486,37,107,16,193,189,161,214,401,22,0
11,12,47,86,3293,4,20,361,2633,15,0,1
3,542,1079,739,1244,361,566,208,0,0,0,0
3,8,187,1018,1245,516,66,0,0,0,0,0
88,166,20,280,167,415,2634,209,281,126,91,1
10,1901,1902,2,87,1903,590,462,22,48,194,0
1080,2196,2,24,321,322,591,3294,98,0,0,0
10,3295,139,51,2,5,3296,2197,463,46,0,2
3,8,670,68,740,4487,4488,592,461,0,0,0
4489,25,28,43,362,60,439,30,1081,0,0,0
183,1659,25,2,5,245,2198,4490,830,7,3297,0
3,1660,239,1151,3298,741,0,0,0,0,0,0
80,11,12,129,153,15,2,5,44,0,0,1
33,4,7,4491,90,2,1019,1661,0,0,0,1
30,64,85,47,2,5,4492,2,5,363,350,0
3,126,61,637,175,696,0,0,0,0,0,0
10,117,2,5,567,742,671,3299,0,0,0,0
3,743,202,105,38,20,127,2,253,7,89,0
4,3300,517,831,2,31,1490,0,0,0,0,1
3,782,593,2,29,139,62,302,0,0,0,0
71,1904,364,4,1905,4493,2,29,0,0,0,1
3,697,28,34,2,5,27,2,5,66,0,0
832,23,2636,13,59,214,210,2637,0,0,0,1
127,464,45,38,2,190,58,43,362,4494,0,0
3,8,20,1358,43,50,543,1906,0,0,0,0
312,3,8,1491,379,50,4495,0,0,0,0,0
80,11,12,129,37,25,1082,86,131,0,0,1
1662,2,2199,113,9,4,333,2638,4496,0,0,1
122,402,594,2,5,20,9,35,1907,0,0,2
3,126,108,1020,1908,1492,894,2,2,40,0,0
3301,1493,186,1663,24,1664,2,1494,672,0,0,2
3,1246,2,31,175,96,2,162,0,0,0,0
312,23,140,1495,2,81,194,698,0,0,0,2
3302,1496,744,615,37,3,2639,36,0,0,0,0
11,12,141,262,380,2,1247,895,2200,86,0,1
161,960,403,744,229,139,783,568,833,210,498,1
3,8,263,3304,1909,150,3305,7,465,0,0,0
6,97,52,2,31,1083,381,0,0,0,0,2
1248,119,404,64,85,175,365,405,128,0,0,0
1497,2201,639,640,3306,264,105,1152,1249,0,0,1
3,1359,30,22,47,2,5,466,0,0,0,0
30,22,350,51,2,5,293,3,67,834,2,0
3,166,172,145,1498,140,7,49,282,0,0,0
2641,961,4,36,3307,0,0,0,0,0,0,1
3,699,467,4497,34,1021,2,1910,0,0,0,0
24,2,389,246,334,36,72,303,0,0,0,0
745,341,95,468,2202,247,2,351,499,1665,0,2
56,154,25,22,3,8,4498,439,42,0,0,0
124,9,1022,36,129,2203,2204,3308,0,0,0,1
9,3,4499,15,1666,73,380,294,179,2,0,0
3,172,1667,4500,17,2642,4501,4502,0,0,0,0
3,8,65,137,28,27,43,440,0,0,0,0
3,8,74,28,43,440,2,5,0,0,0,0
217,2643,2,5,279,962,500,1911,1084,6,0,2
19,1085,784,90,27,99,0,0,0,0,0,0
4503,3309,9,4,595,746,320,0,0,0,0,1
195,3310,1250,896,3,4504,64,85,0,0,0,0
50,382,90,1912,400,1668,406,319,1086,137,196,0
90,11,12,51,32,897,153,15,0,0,0,1
3,8,69,17,1499,1913,45,2205,1360,0,0,0
569,295,2,266,898,2,82,1914,4505,2,0,0
53,1500,463,2206,196,1915,0,0,0,0,0,0
3,8,518,2644,2207,963,1251,0,0,0,0,0
41,134,304,4506,109,2,31,591,544,0,0,2
4,39,3311,1023,2208,100,4507,258,178,0,0,1
6,26,68,61,335,1153,1252,2209,0,0,0,2
4,67,42,11,12,1669,16,2645,2210,0,0,1
43,440,390,2,5,1024,218,234,0,0,0,0
155,1154,4,4508,3312,1025,0,0,0,0,0,1
3,30,245,441,81,83,2,0,0,0,0,0
197,184,785,13,59,24,407,2211,0,0,0,0
154,37,1087,235,4,48,194,638,49,899,2212,2
195,388,442,319,1155,28,1253,22,0,0,0,0
468,3,8,1670,408,545,1361,786,98,0,0,0
211,546,546,1254,283,4509,2,28,23,0,0,0
240,1671,305,4,4510,547,296,58,0,0,0,1
570,51,2,5,36,16,54,3313,306,1156,0,2
3,8,212,366,641,1909,1916,0,0,0,0,0
214,62,746,642,13,59,24,156,519,0,0,0
10,45,15,2,5,166,248,3314,1255,0,0,0
11,12,425,2,5,322,1917,835,86,0,0,1
4511,203,378,46,186,2,31,0,0,0,0,2
4,1918,2,87,964,2646,1501,4512,4513,254,2,1
201,62,596,1502,215,213,336,24,416,0,0,1
1026,3315,4514,4515,3,7,255,0,0,0,0,0
219,4,2647,4516,240,1027,114,2,40,1256,0,1
673,4517,2213,30,204,4,7,89,0,0,0,1
6,146,15,259,249,1672,83,2,0,0,0,2
28,27,3,409,47,2,5,0,0,0,0,0
4,53,1503,1504,38,20,33,7,1157,0,0,1
89,76,67,747,787,1257,410,32,2648,0,0,0
4,748,1258,140,2214,2649,965,342,900,0,0,1
10,45,15,2,5,2,110,0,0,0,0,2
3,8,69,107,163,17,1673,3316,1505,0,0,0
11,12,47,484,2,1259,499,151,19,0,0,1
2215,228,827,2,2216,4518,501,0,0,0,0,0
3,8,65,198,28,1919,966,0,0,0,0,0
485,173,37,13,57,21,210,700,0,0,0,1
3,8,70,17,61,168,967,2,82,0,0,0
80,11,12,391,2650,36,44,0,0,0,0,1
569,92,411,1362,2,486,2,3317,1260,1158,0,0
64,32,1506,55,216,4519,0,0,0,0,0,0
3,4520,901,130,17,108,502,0,0,0,0,0
3,8,748,696,2,190,284,392,643,0,0,0
2,9,1507,18,113,84,81,194,0,0,0,1
120,2217,378,2,4521,4522,1674,2651,2,5,0,0
76,121,67,151,260,236,196,4523,486,3318,0,0
11,12,141,2,5,72,332,0,0,0,0,1
3,8,47,2,5,2218,10,16,644,30,0,0
13,548,201,902,3319,323,836,1159,0,0,0,2
4,520,1508,115,101,2652,1920,903,2,0,0,1
3,904,2219,38,20,409,43,0,0,0,0,0
4,1160,749,20,33,2,176,0,0,0,0,1
3,68,27,2,5,34,2,5,66,0,0,0
11,12,1675,44,352,2,5,0,0,0,0,1
6,26,94,565,968,3320,169,2653,410,1261,0,2
23,4,14,324,15,2,5,72,241,0,0,1
3,8,1363,337,276,544,0,0,0,0,0,0
4524,2220,2654,503,2655,108,2,29,6,26,0,2
2656,3,2221,15,28,56,0,0,0,0,0,0
383,701,49,282,899,24,487,198,39,106,18,2
3,8,405,128,1364,1088,297,0,0,0,0,0
3,597,2,5,16,166,53,36,25,2,5,0
154,644,86,15,11,9,4,1509,417,0,0,1
4525,313,4526,33,3321,4527,2,0,0,0,0,1
343,2222,38,20,33,702,269,0,0,0,0,1
3297,237,53,205,1921,93,27,2,5,0,0,0
4,750,242,1922,98,2657,58,23,0,0,0,1
18,1262,2,4,14,3,8,645,443,0,0,1
543,4528,53,549,3,8,7,703,521,0,0,0
235,177,453,186,0,0,0,0,0,0,0,2
13,57,197,504,505,215,213,0,0,0,0,1
11,12,51,86,35,1365,1089,250,10,0,0,1
6,26,52,367,1366,751,2,29,1510,0,0,2
11,12,142,146,1028,2,5,44,0,0,0,1
4,673,256,1923,1676,1677,401,4529,2658,160,0,1
6,378,506,4530,3322,4531,0,0,0,0,0,2
4,14,74,674,30,11,12,2,0,0,0,1
383,701,181,40,267,969,143,325,24,246,469,0
1678,4532,1924,120,22,0,0,0,0,0,0,0
550,1029,3323,33,47,2,0,0,0,0,0,1
4,518,1161,598,136,0,0,0,0,0,0,1
4,14,16,15,2,5,23,2,24,453,261,1
49,134,263,368,13,1367,21,3324,0,0,0,2
10,597,2,5,161,2,87,110,32,4533,0,1
28,27,183,19,141,2,5,2,1679,176,0,0
53,3,646,788,38,104,125,0,0,0,0,0
1680,1925,4534,1263,0,0,0,0,0,0,0,2
180,173,13,57,59,24,2,91,905,0,0,0
906,19,2659,1264,38,444,6,2,82,0,0,2
84,298,62,2660,1030,6,122,13,18,145,0,1
2,837,229,4,81,230,698,0,0,0,0,1
3,126,150,907,2661,0,0,0,0,0,0,0
3,298,64,169,704,3325,338,2662,0,0,0,0
6,26,39,106,267,90,2,23,0,0,0,2
6,199,22,2,3,1926,0,0,0,0,0,0
3,8,45,17,150,3326,24,240,0,0,0,0
3,126,61,1265,49,4535,22,3327,0,0,0,0
426,2223,143,752,100,195,280,3,0,0,0,0
10,410,1927,369,370,297,210,2,9,3328,0,0
37,1266,2663,338,1928,17,178,342,4,0,0,1
522,122,2224,353,2,29,3,164,58,454,0,0
4,30,4536,455,67,28,11,3329,7,132,0,1
4,191,838,1681,703,521,102,0,0,0,0,1
547,1090,3330,6,4537,2664,753,19,0,0,0,2
3,3331,2,3332,1682,2665,789,66,616,908,0,0
9,277,1683,10,484,2,87,110,0,0,0,1
6,63,103,2,2225,4538,839,46,81,571,0,2
