,topic,title,date,search_date,link,tags
0,Mercado,Ibovespa segue exterior e amplia alta; Marfrig (MRFG3) dispara e Méliuz (CASH3) cai,19/07/2022 11:50,2022-08-04 00:12:08,https://www.suno.com.br/noticias/ibovespa-hoje-opera-alta-marfrig-mrfg3-meliuz-cash3/,"['Ibovespa', 'Embraer (EMBR3)', 'Fleury (FLRY3)', 'Gol Linhas Aéreas (GOLL11/GOLL4)', 'Ibovespa', 'Marfrig (MRFG3)', 'Méliuz (CASH3)', 'Vale (VALE3)']"
19,Negócios,"Radar: Mercado Livre (MELI34) é o BDR mais negociado, Renner (LREN3) atualiza JCP, Eletrobras (ELET3) pode fechar Angra 3",07/04/2022 21:23,2022-08-04 00:13:47,https://www.suno.com.br/noticias/radar-mercado-livre-meli34-renner-vale-vale3/,"['Vale (VALE3)', 'Azul', 'AZUL4', 'Eletrobras (ELET3/ELET5/ELET6)', 'Lojas Renner (LREN3)', 'Mercado Livre (MELI34)', 'Vale (VALE3)']"
33,Negócios,"Radar: Arezzo (ARZZ3) pagará proventos de R$ 60 mi, Grupo Soma (SOMA3) vai recomprar ações e Gol (GOLL4) prevê prejuízo por ação",10/01/2022 22:14,2022-08-04 00:14:32,https://www.suno.com.br/noticias/radar-arezzo-arzz3-grupo-soma-soma3-gol-goll4/,"['Vale (VALE3)', 'Arezzo (ARZZ3)', 'CSN Mineração (CMIN3)', 'Gol Linhas Aéreas (GOLL11/GOLL4)', 'Grupo Soma (SOMA3)', 'soma', 'USIM3', 'USIM5', 'Usiminas', 'Vale (VALE3)']"
38,Política,Prefeituras de MG pedem que moradores deixem as casas por ‘alto risco’ de rompimento de barragem,10/01/2022 15:44,2022-08-04 00:14:35,https://www.suno.com.br/noticias/mg-prefeituras-chuvas-barragem-minas-gerais/,"['Vale (VALE3)', 'Minas Gerais', 'Vale (VALE3)']"
42,Negócios,CSN (CSNA3) e CSN Mineração (CMIN3) interrompem atividades em MG,10/01/2022 10:47,2022-08-04 00:14:38,https://www.suno.com.br/noticias/csn-mineracao-cmin3-csn-csna3-interrupcao-atividades/,"['Vale (VALE3)', 'CSN (CSNA3)', 'CSN Mineração (CMIN3)', 'Minas Gerais', 'Usiminas', 'Vale (VALE3)']"
50,Negócios,Ativa troca Americanas (AMER3) por Magazine Luiza (MGLU3); veja as recomendações,08/06/2022 13:11,2022-08-04 00:14:45,https://www.suno.com.br/noticias/americanas-amer3-vale-vale3-magazine-luiza-mglu3-ativa/,"['Vale (VALE3)', 'americanas S.A (AMER3)', 'BrasilAgro (AGRO3)', 'Embraer (EMBR3)', 'Especialistas', 'Magazine Luiza (MGLU3)', 'Sabesp', 'Vale (VALE3)', 'Weg (WEGE3)']"
92,Negócios,"Radar: lucro da Vibra (VBBR3) cai 67,4%, Mercado Livre (MELI34) pressiona concorrentes, TIM (TIMS3) pagará R$ 195 mi em JCP",22/03/2022 21:54,2022-08-04 00:14:54,https://www.suno.com.br/noticias/radar-vibra-vbbr3-mercado-livre-meli34-tim-tims3/,"['Vale (VALE3)', 'Alibaba (BABA34)', 'Mercado Livre (MELI34)', 'Minerva (BEEF11/BEEF3)', 'Positivo Tecnologia (POSI3)', 'TIM (TIMS3)', 'Vale (VALE3)', 'Vibra Energia (VBBR3)']"
100,Negócios,"Olimpíadas de Inverno: ouro, prata – e ferro – são os metais mais disputados desta edição; saiba por quê",19/02/2022 10:00,2022-08-04 00:14:55,https://www.suno.com.br/noticias/olimpiadas-de-inverno-ferro-metal-disputado/,"['China', 'China', 'Especiais', 'minério de ferro', 'Vale (VALE3)']"
108,Negócios,Magazine Luiza (MGLU3) tem corte no preço alvo e Copom eleva Selic; veja as 5 notícias mais lidas,05/02/2022 15:53,2022-08-04 00:14:57,https://www.suno.com.br/noticias/magazine-luiza-mglu3-via-viia3-copom-selic/,"['Vale (VALE3)', 'Copom', 'Magazine Luiza (MGLU3)', 'Semana do Fiagro', 'Vale (VALE3)', 'Via Varejo (VVAR3)']"
110,Negócios,"Radar: decisão sobre privatização da Eletrobras (ELET3) é adiada, Oi (OIBR3) vende ativos móveis, Unipar (UNIP6) pagará R$ 250 mi em dividendos",20/04/2022 21:29,2022-08-04 00:14:57,https://www.suno.com.br/noticias/radar-eletrobras-elet3-oi-oibr3-unipar-unip6/,"['Vale (VALE3)', 'Eletrobras (ELET3/ELET5/ELET6)', 'Oi (OIBR3/OIBR4)', 'Oi Móvel', 'PicPay', 'Tesla (TSLA34)', 'Unipar (UNIP3/UNIP5/UNIP6)', 'Vale (VALE3)']"
115,Mercado,Ibovespa opera em queda; Magazine Luiza (MGLU3) e Via (VIIA3) se destacam e sobem,20/07/2022 10:58,2022-08-04 00:14:58,https://www.suno.com.br/noticias/ibovespa-hoje-queda-magazine-luiza-mglu3-vale-vale3/,"['Ibovespa', 'Cogna (COGN3)', 'CVC (CVCB3)', 'Ibovespa', 'Locaweb (LWSA3)', 'Magazine Luiza (MGLU3)', 'Petz (PETZ3)', 'Vale (VALE3)', 'Weg (WEGE3)', 'Yduqs (YDUQ3)']"
117,Negócios,BR Malls (BRML3) recusa proposta de fusão e Suzano (SUZB3) anuncia dividendos; Veja destaques,14/01/2022 09:56,2022-08-04 00:14:58,https://www.suno.com.br/noticias/destaques-mercado-financeiro-br-malls-brml3-suzano-suzb3/,"['Vale (VALE3)', 'Aliansce Sonae (ALSO3)', 'BTG Pactual (BPAC11/BPAC3/BPAC5)', 'destaques de empresas', 'Suzano (SUZB3)', 'Vale (VALE3)']"
130,Negócios,"Radar: Nubank (NUBR33) diminui prejuízo no 4T21, Telefônica (VIVT3) dobra lucro e Cosan (CSAN3) faz acordo com Porto (PSSA3)",22/02/2022 23:12,2022-08-04 00:15:00,https://www.suno.com.br/noticias/radar-nubank-nubr33-telefonica-vivt3-cosan-csan3/,"['Vale (VALE3)', 'americanas S.A (AMER3)', 'BRF (BRFS3)', 'Cosan (CSAN3)', 'Eletrobras (ELET3/ELET5/ELET6)', 'Nubank (NUBR33)', 'Porto Seguro (PSSA3)', 'Telefônica (VIVT3)', 'Vale (VALE3)']"
131,Negócios,Ações: Veja as 5 maiores altas e quedas do Ibovespa em fevereiro,27/02/2022 16:06,2022-08-04 00:15:00,https://www.suno.com.br/noticias/acoes-veja-as-5-maiores-altas-e-quedas-do-ibovespa-em-fevereiro/,"['Ibovespa', 'Ações', 'Banco Inter (BIDI11)', 'Carrefour (CRFB3)', 'Especiais', 'Ibovespa', ""Rede D'or (RDOR3)"", 'SulAmérica (SULA11/SULA3/SULA4)', 'Vale (VALE3)']"
134,Negócios,"Bradespar (BRAP4) tem alta de 808% no lucro no 4T21, para R$ 2,96 bilhões",29/03/2022 10:24,2022-08-04 00:15:01,https://www.suno.com.br/noticias/bradespar-brap4-alta-lucro-4t21/,"['balanços trimestrais', 'balanços trimestrais', 'Bradespar (BRAP3/BRAP4)', 'Resultado das empresas', 'Vale (VALE3)']"
138,Negócios,Analistas elegem balanços surpreendentes e decepcionantes do 4T21,30/03/2022 15:54,2022-08-04 00:15:02,https://www.suno.com.br/noticias/balancos-4t21-analistas-elegem-resultados-surpreendentes-decepcionantes/,"['Vale (VALE3)', 'Assaí (ASAI3)', 'AZUL4', 'Banco Inter (BIDI11/BIDI4/BIDI3)', 'BB Seguridade (BBSE3)', 'Carrefour (CRFB3)', 'Cielo (CIEL3)', 'Cogna (COGN3)', 'CSN (CSNA3)', 'Gerdau (GGBR3/GGBR4)', 'Gol Linhas Aéreas (GOLL11/GOLL4)', 'Grupo Pão de Açúcar (PCAR3/PCAR4)', 'IRB Brasil (IRBR3)', 'Jalles Machado (JALL3)', 'Kepler Weber (KEPL11/KEPL3)', 'Magazine Luiza (MGLU3)', 'Porto Seguro (PSSA3)', 'São Martinho (SMTO3)', 'Simpar (SIMH3)', 'SulAmérica (SULA11/SULA3/SULA4)', 'Tenda (TEND3)', 'Unipar (UNIP3/UNIP5/UNIP6)', 'Vale (VALE3)']"
140,Economia,"Chuvas em Minas Gerais podem gerar perdas de R$ 1,1 bilhão, diz Fiemg",14/01/2022 19:11,2022-08-04 00:15:02,https://www.suno.com.br/noticias/chuvas-em-minas-gerais-podem-gerar-perdas-de-r-11-bilhao-diz-fiemg/,"['Vale (VALE3)', 'Vale (VALE3)']"
188,Mercado,Ibovespa: Telefônica Vivo (VIVT3) e Suzano (SUZB3) lideram altas da semana,20/11/2021 17:46,2022-08-04 00:15:33,https://www.suno.com.br/noticias/ibovespa-telefonica-vivo-vivt3-e-suzano-suzb3-lideram-altas-da-semana/,"['Ibovespa', 'Alpargatas (ALPA3/ALPA4)', 'Ibovespa', 'Localiza (RENT3)', 'Movida (MOVI3)', 'Suzano (SUZB3)', 'Telefônica (VIVT3)', 'Unidas (LCAM3)', 'Vale (VALE3)']"
189,Negócios,Carteira de Black Friday: Ativa recomenda 5 ações “com desconto”,19/11/2021 19:59,2022-08-04 00:15:34,https://www.suno.com.br/noticias/carteira-black-friday-acoes-baratas/,"['Vale (VALE3)', '3R Petroleum (RRRP3)', 'americanas S.A (AMER3)', 'B3 (B3SA3)', 'Black Friday', 'Sabesp (SBSP3)', 'Suzano (SUZB3)', 'Vale (VALE3)']"
199,Negócios,"Bradespar (BRAP4) vai pagar R$ 2,3 bilhões em dividendos; veja os valores por ação",08/11/2021 18:51,2022-08-04 00:15:50,https://www.suno.com.br/noticias/bradespar-brap4-aprova-dividendos-r23bi/,"['Vale (VALE3)', 'Bradespar (BRAP3/BRAP4)', 'Vale (VALE3)']"
208,Mercado,Ibovespa vira para alta em dia volátil no exterior; Lojas Americanas (LAME4) dispara 20%,18/10/2021 14:20,2022-08-04 00:16:02,https://www.suno.com.br/noticias/ibovespa-alta-pib-china-lojas-americanas-lame4-18102021/,"['Ibovespa', 'Bolsa de Valores de São Paulo (B3)', 'China', 'Especialistas', 'Ibovespa', 'Lojas Americanas (LAME3/LAME4)', 'Vale (VALE3)']"
214,Mercado,"Ibovespa sobe 1,4% com agito da agenda econômica externa; Banco Pan (BPAN4) dispara 7%",13/10/2021 13:29,2022-08-04 00:16:06,https://www.suno.com.br/noticias/ibovespa-hoje-inflacao-eua-pao-de-acucar-pcar3-13102021/,"['Ibovespa', 'Banco Pan (BPAN4)', 'Bolsa de Valores de São Paulo (B3)', 'Especialistas', 'Ibovespa', 'minério de ferro', 'Vale (VALE3)']"
217,Negócios,"Greenwashing, a maquiagem verde: como empresas se promovem com práticas sustentáveis duvidosas",12/10/2021 14:04,2022-08-04 00:16:10,https://www.suno.com.br/noticias/greenwashing-maquiagem-verde-empresas-agenda-esg/,"['Vale (VALE3)', 'Especiais', 'JBS (JBSS3)', 'Semana do ESG: Investindo no Futuro', 'Vale (VALE3)']"
